tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt19899490,movie,Mount NABI,0,2014,74,"Horror,Sci-Fi",5.2,17,nm1480852
tt1784399,movie,Daybreak,0,2010,,Drama,7.9,46,nm1453714
tt0433028,movie,"Quo Vadis, Baby?",0,2005,102,"Drama,Mystery,Thriller",6.2,1132,nm0759368
tt0301677,movie,Nutcracker,0,2001,81,"Drama,Horror,Mystery",4.6,88,nm1085493
tt3817910,movie,Hell's Heart,0,2015,95,"Drama,Romance",7.1,33,nm1350158
tt3257168,movie,Shorts,0,2013,95,Drama,6.4,488,"nm3035236,nm4784536,nm3125410,nm3310756,nm4731845,nm1335451,nm0746932,nm2396167"
tt1085448,movie,Lights Out,0,2010,,Drama,6,20,nm1581380
tt3758766,movie,Crooked & Narrow,0,2016,90,"Crime,Drama,Thriller",6.9,106,nm2757631
tt3116764,movie,"Broken Bones - Shattered Dreams, a Story of Hope",0,2014,,Documentary,7.4,10,nm5508278
tt6996644,movie,Everything Outside,0,2018,86,Drama,7,15,nm4755189
tt4139124,movie,Keanu,0,2016,100,"Action,Comedy,Crime",6.2,53667,nm1534595
tt9236264,movie,Paris to Pittsburgh,0,2018,77,Documentary,6.4,205,"nm1359013,nm0094397"
tt1128213,movie,Evo Pueblo,0,2007,104,Biography,4.1,48,nm2814577
tt2210834,movie,Jimmy P: Psychotherapy of a Plains Indian,0,2013,117,"Biography,Drama,Thriller",6.1,3196,nm0221611
tt11385066,movie,The App,0,2019,78,"Drama,Sci-Fi,Thriller",2.8,1466,nm3645591
tt1340798,movie,Stem Cell,0,2009,86,"Sci-Fi,Thriller",3,83,nm0213983
tt0425475,movie,"Soraida, une femme de Palestine",0,2004,120,Documentary,8.1,23,nm0705084
tt1399058,movie,Nagordola,0,2005,145,Drama,6,113,nm2320092
tt10047464,movie,The Christmas Spirit,0,2023,89,"Comedy,Thriller",4.9,131,nm3185193
tt14111012,movie,Near,0,2017,106,"Drama,Fantasy,Horror",6.1,11,nm12345769
tt11323408,movie,Archeologist of the Wasteland,0,2019,55,Documentary,7.3,14,nm9238537
tt7035004,movie,The Swordsman,0,2020,100,"Action,Drama,History",6.8,5930,nm9075613
tt5277088,movie,Bhawani Mandi Tesan,0,2018,,Comedy,7.8,12,nm7796470
tt26545708,movie,Aftermath,0,2024,97,"Action,Thriller",5.1,3847,nm0527261
tt4057480,movie,Tashi Delek!,0,2016,55,Documentary,7.7,20,nm3818919
tt1394360,movie,Patrol Men,0,2010,90,Horror,4.6,42,"nm3364270,nm3368322"
tt11951960,movie,After School Lunch Special 2: Sloppy Seconds,0,2022,74,"Comedy,Horror",4.5,77,nm10165012
tt10432140,movie,Sister Tempest,0,2020,121,"Comedy,Horror,Musical",6.8,88,nm5833585
