tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt7585578,movie,In the Fog,0,2017,88,"Crime,Thriller",5.5,15,nm9389203
tt13863334,movie,Endangered Species,0,2021,101,"Action,Thriller",4.6,2901,nm1068186
tt6915172,movie,Sevakudu,0,2013,,Action,4.9,19,nm1229151
tt31937790,movie,Superhuman Body: World of Medical Marvels,0,2024,40,Documentary,6.5,18,"nm0532263,nm1703978"
tt3836308,movie,Gece,0,2014,105,Drama,5.3,1077,nm0456080
tt2175959,movie,The Million Dollar Minute,0,2012,90,Documentary,9.3,92,nm0517665
tt0444657,movie,Link,0,2005,85,Drama,3.4,19,nm1384445
tt1825130,movie,Hayabusa: The Long Voyage Home,0,2012,136,Drama,5.3,84,nm1950988
tt1151831,movie,U-900,0,2008,99,"Comedy,War",4.2,526,nm0881372
tt5296864,movie,Leave Behind a Groove in the Earth: The Story of Sam Black Church,0,2015,91,"Documentary,Musical",9,6,nm7813106
tt4425258,movie,"My Country, My Country",0,2006,90,Documentary,7,426,nm0688636
tt1622976,movie,En los pasos de Abraham,0,2010,90,Documentary,7.9,9,nm0325136
tt6086094,movie,Miami Love Affair,0,2017,90,"Comedy,Romance",6.2,72,nm1352621
tt5192776,movie,Ek Din Ek Raat,0,2011,,Horror,5.2,11,nm4511191
tt0810943,movie,Little White Lies,0,2006,86,"Comedy,Drama",7.2,43,nm1589670
tt3148392,movie,Shatru,0,2013,,"Action,Thriller",4.6,19,nm5907042
tt1621427,movie,The Odd Way Home,0,2013,87,Drama,6.4,216,nm1069939
tt1920984,movie,The Disintegration,0,2011,78,Drama,6.2,320,nm0268999
tt14922300,movie,Collar Bomb,0,2021,86,"Action,Thriller",5.1,1850,nm8075510
tt4178020,movie,Right Footed,0,2015,82,"Biography,Documentary,Family",8,44,nm1116581
tt5009208,movie,My Uncle John Is a Zombie!,0,2016,82,"Comedy,Horror",4.8,174,"nm1726385,nm0751652"
tt3733916,movie,Shameless Propaganda,0,2013,72,"Documentary,History",7.7,29,nm0523183
tt33333371,movie,64 Days,0,2024,,Documentary,9.2,16,nm1516023
tt1630030,movie,"Babe, I Love You",0,2010,101,"Comedy,Drama,Romance",6,119,nm0190389
tt0298265,movie,Change My Life,0,2001,101,Drama,6.2,171,nm0126752
tt28864874,movie,The Dog,0,2024,106,Drama,6.9,20,nm0439285
tt0457341,movie,Every Picture,0,2005,80,"Animation,Thriller",5.4,21,nm1680312
tt15468586,movie,Lakota Nation vs. United States,0,2022,120,"Documentary,History",7.8,384,"nm6241808,nm6033324"
tt1576440,movie,Good Neighbours,0,2010,99,"Drama,Mystery,Thriller",5.8,6172,nm0862932
tt2102508,movie,The Last Laugh,0,2016,88,"Comedy,Documentary",6.8,922,nm1119279
tt28489497,movie,Dependence,0,2023,107,Drama,6.7,11,nm7500142
tt7146812,movie,Onward,0,2020,102,"Adventure,Animation,Comedy",7.4,178550,nm0768959
tt5585272,movie,Through the Glass Darkly,0,2020,103,Thriller,5.6,10213,nm3205324
tt4970122,movie,Road-Movie,0,2015,88,Drama,6.6,14,nm7544752
tt2231110,movie,Homegoings,0,2013,51,Documentary,7.7,70,nm1423114
tt5693890,movie,Death by Design,0,2016,73,Documentary,7.1,132,nm0931747
tt27051018,movie,Fanny: The Other Mendelssohn,0,2023,97,"Biography,Documentary,History",6.9,15,nm1406808
tt3159522,movie,Strange Sounds,0,2014,54,"Horror,Mystery,Sci-Fi",3.3,15,nm5918965
tt0230098,movie,Confusion of Genders,0,2000,94,"Comedy,Drama,Romance",6.3,1139,nm0243666
tt29474378,movie,Frogs: World's First Film in Ancient Greek,0,2023,72,"Adventure,Comedy,Drama",7.6,18,nm15349894
tt15147296,movie,Ksheera Sagara Madhanam,0,2021,145,"Drama,Thriller",6.6,1097,nm12805548
tt6627684,movie,Vitch,0,2017,77,"Biography,Documentary",8.1,18,nm8322071
tt0422458,movie,A Simple Curve,0,2005,92,Drama,6.7,501,nm0623738
tt12221748,movie,Becoming,0,2020,89,"Biography,Documentary",7,6783,nm2289381
tt5947702,movie,Mountain Biking: The Untold British Story,0,2016,69,Documentary,8.6,36,nm1282420
tt1660323,movie,Butterflies & Bulldozers,0,2010,62,"Documentary,History",8.4,6,nm1878133
tt13848014,movie,The Hunt for Planet B,0,2021,93,Documentary,6.6,207,nm0434896
tt4156976,movie,How to Get Away with It,0,2017,101,"Comedy,Crime,Thriller",7,11,nm6875979
tt5162458,movie,Poison Flower,0,2015,60,Documentary,5.8,12,nm7696731
